tipo_combo,internet,precio_lista_internet,precio_combo_internet,telefonia,precio_lista_telefonia,precio_combo_telefonia,flow,precio_lista_flow,precio_combo_flow,total_precio_lista,total_precio_combo,masiva,portin,zona_claro
Combo Flow,50,130000,110500,null,0,0,true,200000,170000,330000,280500,true,false,false
Combo Flow,100,199000,169150,null,0,0,true,200000,170000,399000,339150,true,false,false
Combo Flow,150,249000,211650,null,0,0,true,200000,170000,449000,381650,true,false,false
Combo Flow,200,299000,254150,null,0,0,true,200000,170000,499000,424150,true,false,false
Combo Flow,50,130000,65000,null,0,0,true,200000,170000,330000,235000,false,false,true
Combo Flow,100,199000,99500,null,0,0,true,200000,170000,399000,269500,false,false,true
Combo Flow,150,249000,124500,null,0,0,true,200000,170000,449000,294500,false,false,true
Combo Flow,200,299000,149500,null,0,0,true,200000,170000,499000,319500,false,false,true
Combo Hogar,50,130000,97500,2,95000,71250,true,200000,150000,425000,318750,true,false,false
Combo Hogar,50,130000,97500,3,120000,90000,true,200000,150000,450000,337500,true,false,false
Combo Hogar,50,130000,97500,5,150000,112500,true,200000,150000,480000,360000,true,false,false
Combo Hogar,50,130000,97500,7,185000,138750,true,200000,150000,515000,386250,true,false,false
Combo Hogar,50,130000,97500,10,255000,191250,true,200000,150000,585000,438750,true,false,false
Combo Hogar,50,130000,97500,15,350000,262500,true,200000,150000,680000,510000,true,false,false
Combo Hogar,50,130000,97500,17,450000,337500,true,200000,150000,780000,585000,true,false,false
Combo Hogar,50,130000,97500,20,550000,412500,true,200000,150000,880000,660000,true,false,false
Combo Hogar,100,199000,149250,2,95000,71250,true,200000,150000,494000,370500,true,false,false
Combo Hogar,100,199000,149250,3,120000,90000,true,200000,150000,519000,389250,true,false,false
Combo Hogar,100,199000,149250,5,150000,112500,true,200000,150000,549000,411750,true,false,false
Combo Hogar,100,199000,149250,7,185000,138750,true,200000,150000,584000,438000,true,false,false
Combo Hogar,100,199000,149250,10,255000,191250,true,200000,150000,654000,490500,true,false,false
Combo Hogar,100,199000,149250,15,350000,262500,true,200000,150000,749000,561750,true,false,false
Combo Hogar,100,199000,149250,17,450000,337500,true,200000,150000,849000,636750,true,false,false
Combo Hogar,100,199000,149250,20,550000,412500,true,200000,150000,949000,711750,true,false,false
Combo Hogar,150,249000,186750,2,95000,71250,true,200000,150000,544000,408000,true,false,false
Combo Hogar,150,249000,186750,3,120000,90000,true,200000,150000,569000,426750,true,false,false
Combo Hogar,150,249000,186750,5,150000,112500,true,200000,150000,599000,449250,true,false,false
Combo Hogar,150,249000,186750,7,185000,138750,true,200000,150000,634000,475500,true,false,false
Combo Hogar,150,249000,186750,10,255000,191250,true,200000,150000,704000,528000,true,false,false
Combo Hogar,150,249000,186750,15,350000,262500,true,200000,150000,799000,599250,true,false,false
Combo Hogar,150,249000,186750,17,450000,337500,true,200000,150000,899000,674250,true,false,false
Combo Hogar,150,249000,186750,20,550000,412500,true,200000,150000,999000,749250,true,false,false
Combo Hogar,200,299000,224250,2,95000,71250,true,200000,150000,594000,445500,true,false,false
Combo Hogar,200,299000,224250,3,120000,90000,true,200000,150000,619000,464250,true,false,false
Combo Hogar,200,299000,224250,5,150000,112500,true,200000,150000,649000,486750,true,false,false
Combo Hogar,200,299000,224250,7,185000,138750,true,200000,150000,684000,513000,true,false,false
Combo Hogar,200,299000,224250,10,255000,191250,true,200000,150000,754000,565500,true,false,false
Combo Hogar,200,299000,224250,15,350000,262500,true,200000,150000,849000,636750,true,false,false
Combo Hogar,200,299000,224250,17,450000,337500,true,200000,150000,949000,711750,true,false,false
Combo Hogar,200,299000,224250,20,550000,412500,true,200000,150000,1049000,786750,true,false,false
Combo Hogar,50,130000,97500,2,95000,47500,true,200000,150000,425000,295000,false,true,false
Combo Hogar,50,130000,97500,3,120000,60000,true,200000,150000,450000,307500,false,true,false
Combo Hogar,50,130000,97500,5,150000,75000,true,200000,150000,480000,322500,false,true,false
Combo Hogar,50,130000,97500,7,185000,92500,true,200000,150000,515000,340000,false,true,false
Combo Hogar,50,130000,97500,10,255000,127500,true,200000,150000,585000,375000,false,true,false
Combo Hogar,50,130000,97500,15,350000,175000,true,200000,150000,680000,422500,false,true,false
Combo Hogar,50,130000,97500,17,450000,225000,true,200000,150000,780000,472500,false,true,false
Combo Hogar,50,130000,97500,20,550000,275000,true,200000,150000,880000,522500,false,true,false
Combo Hogar,100,199000,149250,2,95000,47500,true,200000,150000,494000,346750,false,true,false
Combo Hogar,100,199000,149250,3,120000,60000,true,200000,150000,519000,359250,false,true,false
Combo Hogar,100,199000,149250,5,150000,75000,true,200000,150000,549000,374250,false,true,false
Combo Hogar,100,199000,149250,7,185000,92500,true,200000,150000,584000,391750,false,true,false
Combo Hogar,100,199000,149250,10,255000,127500,true,200000,150000,654000,426750,false,true,false
Combo Hogar,100,199000,149250,15,350000,175000,true,200000,150000,749000,474250,false,true,false
Combo Hogar,100,199000,149250,17,450000,225000,true,200000,150000,849000,524250,false,true,false
Combo Hogar,100,199000,149250,20,550000,275000,true,200000,150000,949000,574250,false,true,false
Combo Hogar,150,249000,186750,2,95000,47500,true,200000,150000,544000,384250,false,true,false
Combo Hogar,150,249000,186750,3,120000,60000,true,200000,150000,569000,396750,false,true,false
Combo Hogar,150,249000,186750,5,150000,75000,true,200000,150000,599000,411750,false,true,false
Combo Hogar,150,249000,186750,7,185000,92500,true,200000,150000,634000,429250,false,true,false
Combo Hogar,150,249000,186750,10,255000,127500,true,200000,150000,704000,464250,false,true,false
Combo Hogar,150,249000,186750,15,350000,175000,true,200000,150000,799000,511750,false,true,false
Combo Hogar,150,249000,186750,17,450000,225000,true,200000,150000,899000,561750,false,true,false
Combo Hogar,150,249000,186750,20,550000,275000,true,200000,150000,999000,611750,false,true,false
Combo Hogar,200,299000,224250,2,95000,47500,true,200000,150000,594000,421750,false,true,false
Combo Hogar,200,299000,224250,3,120000,60000,true,200000,150000,619000,434250,false,true,false
Combo Hogar,200,299000,224250,5,150000,75000,true,200000,150000,649000,449250,false,true,false
Combo Hogar,200,299000,224250,7,185000,92500,true,200000,150000,684000,466750,false,true,false
Combo Hogar,200,299000,224250,10,255000,127500,true,200000,150000,754000,501750,false,true,false
Combo Hogar,200,299000,224250,15,350000,175000,true,200000,150000,849000,549250,false,true,false
